Alpha,P,Q,TimeToComplete,Pure
0,0.01,0.001,42.4,0
0,0.01,0.002,37.85,0
0,0.01,0.003,36.15,0
0,0.01,0.004,36.95,0
0,0.01,0.005,35.15,0
0,0.01,0.006,37.1,0
0,0.01,0.007,36.45,0
0,0.01,0.008,36.5,0
0,0.01,0.009,37.45,0
0,0.01,0.01,38.55,0
0,0.02,0.002,21.05,0
0,0.02,0.004,18.8,0
0,0.02,0.006,18.1,0
0,0.02,0.008,17.85,0
0,0.02,0.01,18.55,0
0,0.02,0.012,17.9,0
0,0.02,0.014,18.1,0
0,0.02,0.016,19.35,0
0,0.02,0.018,19.3,0
0,0.02,0.02,19.2,0
0,0.03,0.003,15.1,0
0,0.03,0.006,13.05,0
0,0.03,0.009,13.1,0
0,0.03,0.012,12.45,0
0,0.03,0.015,12.65,0
0,0.03,0.018,12.4,0
0,0.03,0.021,12.7,0
0,0.03,0.024,12.6,0
0,0.03,0.027,13,0
0,0.03,0.03,12.55,0
0,0.04,0.004,11.4,0
0,0.04,0.008,10.05,0
0,0.04,0.012,9.9,0
0,0.04,0.016,9.5,0
0,0.04,0.02,9.45,0
0,0.04,0.024,9.65,0
0,0.04,0.028,9.75,0
0,0.04,0.032,9.8,0
0,0.04,0.036,10,0
0,0.04,0.04,9.85,0
0,0.05,0.005,9.55,0
0,0.05,0.01,8.8,0
0,0.05,0.015,8,0
0,0.05,0.02,8.2,0
0,0.05,0.025,7.85,0
0,0.05,0.03,7.7,0
0,0.05,0.035,7.9,0
0,0.05,0.04,7.75,0
0,0.05,0.045,8.05,0
0,0.05,0.05,8.2,0
0,0.06,0.006,8.1,0
0,0.06,0.012,7.1,0
0,0.06,0.018,6.9,0
0,0.06,0.024,6.65,0
0,0.06,0.03,6.65,0
0,0.06,0.036,6.45,0
0,0.06,0.042,6.7,0
0,0.06,0.048,6.55,0
0,0.06,0.054,6.55,0
0,0.06,0.06,6.8,0
0,0.07,0.007,7.05,0
0,0.07,0.014,6.45,0
0,0.07,0.021,6.3,0
0,0.07,0.028,5.85,0
0,0.07,0.035,5.8,0
0,0.07,0.042,5.8,0
0,0.07,0.049,5.85,0
0,0.07,0.056,5.7,0
0,0.07,0.063,5.75,0
0,0.07,0.07,5.85,0
0,0.08,0.008,6.2,0
0,0.08,0.016,5.6,0
0,0.08,0.024,5.45,0
0,0.08,0.032,5.45,0
0,0.08,0.04,5.1,0
0,0.08,0.048,5.05,0
0,0.08,0.056,5.15,0
0,0.08,0.064,5.2,0
0,0.08,0.072,5.25,0
0,0.08,0.08,5.35,0
0,0.09,0.009,6.1,0
0,0.09,0.018,5.25,0
0,0.09,0.027,5,0
0,0.09,0.036,4.7,0
0,0.09,0.045,4.85,0
0,0.09,0.054,4.75,0
0,0.09,0.063,4.6,0
0,0.09,0.072,4.55,0
0,0.09,0.081,4.75,0
0,0.09,0.09,4.6,0
0,0.1,0.01,5.35,0
0,0.1,0.02,4.8,0
0,0.1,0.03,4.55,0
0,0.1,0.04,4.6,0
0,0.1,0.05,4.4,0
0,0.1,0.06,4.1,0
0,0.1,0.07,4.15,0
0,0.1,0.08,4.35,0
0,0.1,0.09,4.15,0
0,0.1,0.1,4.3,0
0.005,0.01,0,44.95,100
0.005,0.01,0.001,37.75,36.01432027693
0.005,0.01,0.002,34.15,18.5445321440452
0.005,0.01,0.003,33,14.0616561550279
0.005,0.01,0.004,33.75,13.2078772397097
0.005,0.01,0.005,32.95,12.5083414402788
0.005,0.01,0.006,34.75,10.3763253567592
0.005,0.01,0.007,35.15,9.72756681868378
0.005,0.01,0.008,36,9.77762443792701
0.005,0.01,0.009,34.95,8.96556559750208
0.005,0.01,0.01,36.25,9.21498724183377
0.005,0.02,0,27.8,100
0.005,0.02,0.002,20.4,19.0411149796189
0.005,0.02,0.004,18.35,11.9329383642231
0.005,0.02,0.006,19,9.75560480547028
0.005,0.02,0.008,17.5,6.35449676840138
0.005,0.02,0.01,18.9,5.3142914791815
0.005,0.02,0.012,18.7,5.09205384196363
0.005,0.02,0.014,18.5,4.2237729484752
0.005,0.02,0.016,17.45,4.284054500391
0.005,0.02,0.018,18.45,4.52444282977596
0.005,0.02,0.02,19.2,4.25335796111699
0.005,0.03,0,21,100
0.005,0.03,0.003,14.45,11.6142602035927
0.005,0.03,0.006,12.45,5.77992507300055
0.005,0.03,0.009,12.55,7.38730571995624
0.005,0.03,0.012,11.8,3.91766699529243
0.005,0.03,0.015,12.5,4.10412221806489
0.005,0.03,0.018,11.75,3.70757362034491
0.005,0.03,0.021,12.65,3.03575863657532
0.005,0.03,0.024,12.55,3.10067776836769
0.005,0.03,0.027,12.7,3.06495704101719
0.005,0.03,0.03,12.8,3.17674210204432
0.005,0.04,0,16.25,100
0.005,0.04,0.004,11.25,10.3383904781476
0.005,0.04,0.008,10.3,4.3558220430329
0.005,0.04,0.012,9.7,3.04711824132409
0.005,0.04,0.016,9.2,2.53627980961154
0.005,0.04,0.02,9.4,2.54229201680849
0.005,0.04,0.024,9.5,2.32260281095996
0.005,0.04,0.028,9.65,2.49332390184226
0.005,0.04,0.032,9.55,2.16046726160223
0.005,0.04,0.036,9.75,1.5138537784008
0.005,0.04,0.04,9.85,1.90376455097513
0.005,0.05,0,15.1,100
0.005,0.05,0.005,9.45,8.44881509142477
