K,Betha,Alpha,P,Q,PurePercent
3,0.5,0,0.01,0.001,0
3,0.5,0,0.01,0.002,0
3,0.5,0,0.01,0.003,0
3,0.5,0,0.01,0.004,0
3,0.5,0,0.01,0.005,0
3,0.5,0,0.01,0.006,0
3,0.5,0,0.01,0.007,0
3,0.5,0,0.01,0.008,0
3,0.5,0,0.01,0.009,0
3,0.5,0,0.01,0.01,0
3,0.5,0,0.02,0.002,0
3,0.5,0,0.02,0.004,0
3,0.5,0,0.02,0.006,0
3,0.5,0,0.02,0.008,0
3,0.5,0,0.02,0.01,0
3,0.5,0,0.02,0.012,0
3,0.5,0,0.02,0.014,0
3,0.5,0,0.02,0.016,0
3,0.5,0,0.02,0.018,0
3,0.5,0,0.02,0.02,0
3,0.5,0,0.03,0.003,0
3,0.5,0,0.03,0.006,0
3,0.5,0,0.03,0.009,0
3,0.5,0,0.03,0.012,0
3,0.5,0,0.03,0.015,0
3,0.5,0,0.03,0.018,0
3,0.5,0,0.03,0.021,0
3,0.5,0,0.03,0.024,0
3,0.5,0,0.03,0.027,0
3,0.5,0,0.03,0.03,0
3,0.5,0,0.04,0.004,0
3,0.5,0,0.04,0.008,0
3,0.5,0,0.04,0.012,0
3,0.5,0,0.04,0.016,0
3,0.5,0,0.04,0.02,0
3,0.5,0,0.04,0.024,0
3,0.5,0,0.04,0.028,0
3,0.5,0,0.04,0.032,0
3,0.5,0,0.04,0.036,0
3,0.5,0,0.04,0.04,0
3,0.5,0,0.05,0.005,0
3,0.5,0,0.05,0.01,0
3,0.5,0,0.05,0.015,0
3,0.5,0,0.05,0.02,0
3,0.5,0,0.05,0.025,0
3,0.5,0,0.05,0.03,0
3,0.5,0,0.05,0.035,0
3,0.5,0,0.05,0.04,0
3,0.5,0,0.05,0.045,0
3,0.5,0,0.05,0.05,0
3,0.5,0,0.06,0.006,0
3,0.5,0,0.06,0.012,0
3,0.5,0,0.06,0.018,0
3,0.5,0,0.06,0.024,0
3,0.5,0,0.06,0.03,0
3,0.5,0,0.06,0.036,0
3,0.5,0,0.06,0.042,0
3,0.5,0,0.06,0.048,0
3,0.5,0,0.06,0.054,0
3,0.5,0,0.06,0.06,0
3,0.5,0,0.07,0.007,0
3,0.5,0,0.07,0.014,0
3,0.5,0,0.07,0.021,0
3,0.5,0,0.07,0.028,0
3,0.5,0,0.07,0.035,0
3,0.5,0,0.07,0.042,0
3,0.5,0,0.07,0.049,0
3,0.5,0,0.07,0.056,0
3,0.5,0,0.07,0.063,0
3,0.5,0,0.07,0.07,0
3,0.5,0,0.08,0.008,0
3,0.5,0,0.08,0.016,0
3,0.5,0,0.08,0.024,0
3,0.5,0,0.08,0.032,0
3,0.5,0,0.08,0.04,0
3,0.5,0,0.08,0.048,0
3,0.5,0,0.08,0.056,0
3,0.5,0,0.08,0.064,0
3,0.5,0,0.08,0.072,0
3,0.5,0,0.08,0.08,0
3,0.5,0,0.09,0.009,0
3,0.5,0,0.09,0.018,0
3,0.5,0,0.09,0.027,0
3,0.5,0,0.09,0.036,0
3,0.5,0,0.09,0.045,0
3,0.5,0,0.09,0.054,0
3,0.5,0,0.09,0.063,0
3,0.5,0,0.09,0.072,0
3,0.5,0,0.09,0.081,0
3,0.5,0,0.09,0.09,0
3,0.5,0,0.1,0.01,0
3,0.5,0,0.1,0.02,0
3,0.5,0,0.1,0.03,0
3,0.5,0,0.1,0.04,0
3,0.5,0,0.1,0.05,0
3,0.5,0,0.1,0.06,0
3,0.5,0,0.1,0.07,0
3,0.5,0,0.1,0.08,0
3,0.5,0,0.1,0.09,0
3,0.5,0,0.1,0.1,0
3,0.5,0.005,0.01,0,100
3,0.5,0.005,0.01,0.001,57.5953059459398
3,0.5,0.005,0.01,0.002,42.9233093833363
3,0.5,0.005,0.01,0.003,32.3045912519594
3,0.5,0.005,0.01,0.004,29.1449834816416
3,0.5,0.005,0.01,0.005,28.7743752873874
3,0.5,0.005,0.01,0.006,25.6789921066076
3,0.5,0.005,0.01,0.007,24.9698142414861
3,0.5,0.005,0.01,0.008,23.190342856772
3,0.5,0.005,0.01,0.009,21.5555506413092
3,0.5,0.005,0.01,0.01,22.4499557717824
3,0.5,0.005,0.02,0,100
3,0.5,0.005,0.02,0.002,39.4949129827561
3,0.5,0.005,0.02,0.004,24.7836219644363
3,0.5,0.005,0.02,0.006,19.1876232632971
3,0.5,0.005,0.02,0.008,17.1712210590295
3,0.5,0.005,0.02,0.01,15.2023418838607
3,0.5,0.005,0.02,0.012,14.3326334539805
3,0.5,0.005,0.02,0.014,12.7960143034256
3,0.5,0.005,0.02,0.016,12.8840680587551
3,0.5,0.005,0.02,0.018,11.084499947109
3,0.5,0.005,0.02,0.02,11.8354135122642
3,0.5,0.005,0.03,0,100
3,0.5,0.005,0.03,0.003,28.0870816558068
3,0.5,0.005,0.03,0.006,16.8164425802821
3,0.5,0.005,0.03,0.009,13.3757041338548
3,0.5,0.005,0.03,0.012,11.477417863006
3,0.5,0.005,0.03,0.015,10.0277306898835
3,0.5,0.005,0.03,0.018,9.8431017093142
3,0.5,0.005,0.03,0.021,9.10143828124545
3,0.5,0.005,0.03,0.024,8.24855282365651
3,0.5,0.005,0.03,0.027,8.12121690741741
3,0.5,0.005,0.03,0.03,8.65360607083249
3,0.5,0.005,0.04,0,100
3,0.5,0.005,0.04,0.004,23.8742987035549
3,0.5,0.005,0.04,0.008,13.3212786815686
3,0.5,0.005,0.04,0.012,11.5477612924943
3,0.5,0.005,0.04,0.016,8.06956286540793
3,0.5,0.005,0.04,0.02,7.91645604962715
3,0.5,0.005,0.04,0.024,7.49403864069471
3,0.5,0.005,0.04,0.028,6.60586667944557
3,0.5,0.005,0.04,0.032,6.1481232078805
3,0.5,0.005,0.04,0.036,5.60144694885665
3,0.5,0.005,0.04,0.04,5.63503033682088
3,0.5,0.005,0.05,0,100
3,0.5,0.005,0.05,0.005,17.1214617816402
3,0.5,0.005,0.05,0.01,10.6629589415781
3,0.5,0.005,0.05,0.015,7.12306091897621
3,0.5,0.005,0.05,0.02,7.79711076695603
3,0.5,0.005,0.05,0.025,6.01150846038077
3,0.5,0.005,0.05,0.03,6.38507693102108
3,0.5,0.005,0.05,0.035,5.233620759088
3,0.5,0.005,0.05,0.04,5.11054418418594
3,0.5,0.005,0.05,0.045,5.30591618228338
3,0.5,0.005,0.05,0.05,4.22674565294556
3,0.5,0.005,0.06,0,100
3,0.5,0.005,0.06,0.006,18.0528818632123
3,0.5,0.005,0.06,0.012,8.05145910894471
3,0.5,0.005,0.06,0.018,6.9119592724979
3,0.5,0.005,0.06,0.024,5.28701641622754
3,0.5,0.005,0.06,0.03,5.12705111208215
3,0.5,0.005,0.06,0.036,4.0844125428065
3,0.5,0.005,0.06,0.042,4.80497362607953
3,0.5,0.005,0.06,0.048,3.69603589545606
3,0.5,0.005,0.06,0.054,4.14043474090018
3,0.5,0.005,0.06,0.06,3.94156139229192
3,0.5,0.005,0.07,0,100
3,0.5,0.005,0.07,0.007,13.7262120565745
3,0.5,0.005,0.07,0.014,8.18082855068656
3,0.5,0.005,0.07,0.021,5.98772362595917
